symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
BTCUSDT,做多观察,100,1777801199999,1777806599999,78561.0,78405.1,78319.76,78802.24,79043.48000000001,0.0,False,1.5,1.875e-05,False,到期平仓,-0.003003195208182103
BTCUSDT,做多观察,100,1777808999999,1777814999999,78764.9,78538.82785714285,78538.82785714285,78990.97214285714,79217.04428571428,0.0,False,2.5,2.0833333333333333e-05,False,止损,-0.00389104764017739
BTCUSDT,做多观察,100,1777839899999,1777841399999,78891.4,78891.4,78573.09214285715,79209.70785714284,79528.01571428569,0.0,False,2.0,5.208333333333333e-06,True,半仓止盈后保本,0.0010121716164637844
BTCUSDT,做空观察,94,1777854299999,1777858499999,78304.9,78824.87857142858,78824.87857142858,77784.92142857141,77264.94285714283,0.0,False,1.5,1.4583333333333333e-05,False,止损,-0.007655017985935951
BTCUSDT,做多观察,100,1777860599999,1777865099999,79908.5,80100.0,79353.16928571428,80463.83071428572,81019.16142857145,0.0,False,1.25,1.5625e-05,False,到期平仓,0.0013808659865658848
BTCUSDT,做多观察,98,1777904699999,1777906799999,79229.9,80486.38714285713,78601.65642857143,79858.14357142856,80486.38714285713,0.0,False,1.5,7.291666666666667e-06,True,分批止盈,0.010886770513682562
BTCUSDT,做多观察,100,1777946699999,1777950299999,80451.0,80451.0,80095.75928571427,80806.24071428573,81161.48142857145,0.0,False,2.5,1.25e-05,True,半仓止盈后保本,0.0011953079469846643
BTCUSDT,做多观察,100,1777958699999,1777969499999,81124.5,80828.9,80534.66357142858,81714.33642857142,82304.17285714284,0.0,False,3.0,3.75e-05,False,到期平仓,-0.004681282088025268
BTCUSDT,做多观察,100,1777984799999,1777988699999,81219.9,81219.9,80973.54357142858,81466.2564285714,81712.61285714281,0.0,False,3.0,1.3541666666666666e-05,True,半仓止盈后保本,0.0005030597362617364
BTCUSDT,做多观察,100,1778011499999,1778016899999,81656.0,81308.90428571428,81308.90428571428,82003.09571428572,82350.19142857144,0.0,False,2.5,1.875e-05,False,止损,-0.005269456797855912
BTCUSDT,做多观察,100,1778037899999,1778045999999,81608.0,81076.845,81076.845,82139.155,82670.31,0.0,False,2.5,2.8125e-05,False,止损,-0.00753673935153415
BTCUSDT,做多观察,100,1778056499999,1778063699999,81683.7,82178.3,81328.75928571429,82038.6407142857,82393.58142857142,0.0,False,2.0,2.5e-05,True,半仓止盈后到期,0.00417518506927156
ETHUSDT,做空观察,96,1776938999999,1776942599999,2308.73,2315.06,2325.846,2291.614,2274.498,0.0,False,1.0,1.25e-05,False,到期平仓,-0.003754267118718918
